x_mm,y_mm,eps_x,eps_y,gamma_xy  (P=83.4kN, step=35)
7.000000000000000000e+01,7.000000000000000000e+01,4.063853073236220557e-05,-9.690751837316376931e-05,3.901845275438350219e-06
9.000000000000000000e+01,7.000000000000000000e+01,3.083572734992829159e-05,-8.076716313725818604e-05,-2.770089540752791090e-05
1.100000000000000000e+02,7.000000000000000000e+01,2.482529938422822416e-05,-6.462680790135262989e-05,-6.729578010600125273e-05
1.300000000000000000e+02,7.000000000000000000e+01,2.500893932285625426e-05,-4.848645266544704662e-05,-1.031883193368863226e-04
1.500000000000000000e+02,7.000000000000000000e+01,2.891725080597653692e-05,-3.234609742954148369e-05,-8.236061726535245627e-05
1.700000000000000000e+02,7.000000000000000000e+01,3.476776481137108235e-05,-2.699788814205566687e-05,-6.879529630317387210e-05
1.900000000000000000e+02,7.000000000000000000e+01,4.190458283734209346e-05,-2.164967885456984666e-05,-5.672788398037110818e-05
2.100000000000000000e+02,7.000000000000000000e+01,4.749328701541456228e-05,-1.630146956708402646e-05,-5.079998345444530739e-05
2.300000000000000000e+02,7.000000000000000000e+01,5.406546120551966903e-05,-1.095326027959820625e-05,-4.640538086481138264e-05
2.500000000000000000e+02,7.000000000000000000e+01,5.962676973758438282e-05,-5.605050992112386891e-06,-2.971378776910457893e-05
2.700000000000000000e+02,7.000000000000000000e+01,6.628287451777693340e-05,-6.503611045870759207e-06,-2.061833452260215582e-05
2.900000000000000000e+02,7.000000000000000000e+01,7.776338725318769499e-05,-7.402171099629131522e-06,-9.340690766180572129e-06
3.100000000000000000e+02,7.000000000000000000e+01,1.010241896373794356e-04,-8.300731153387503838e-06,9.524520681863834679e-06
3.300000000000000000e+02,7.000000000000000000e+01,9.781712038911438332e-05,-9.199291207145877001e-06,-3.714935274333293542e-06
3.500000000000000000e+02,7.000000000000000000e+01,8.210689198221725782e-05,-1.009785126090424847e-05,-1.691590156600949362e-05
3.700000000000000000e+02,7.000000000000000000e+01,7.865709404190704965e-05,-8.339652626543821257e-06,-1.324100358564895316e-05
3.900000000000000000e+02,7.000000000000000000e+01,8.058289257783871615e-05,-6.581453992183392351e-06,-4.372682792236898936e-06
4.100000000000000000e+02,7.000000000000000000e+01,8.664718520473879183e-05,-4.823255357822965139e-06,2.134075133319789596e-06
4.300000000000000000e+02,7.000000000000000000e+01,9.915852269555911890e-05,-3.065056723462537080e-06,6.849037067667662583e-06
4.500000000000000000e+02,7.000000000000000000e+01,9.118180135027325456e-05,-1.306858089102109657e-06,4.087227643455535191e-06
4.700000000000000000e+02,7.000000000000000000e+01,7.615548488447490278e-05,-1.753989903729533348e-06,2.634469339719732990e-06
4.900000000000000000e+02,7.000000000000000000e+01,7.131519278914031474e-05,-2.201121718356957251e-06,1.470728319199548850e-05
5.100000000000000000e+02,7.000000000000000000e+01,7.384267002985665936e-05,-2.648253532984380730e-06,3.433540484186063294e-05
5.300000000000000000e+02,7.000000000000000000e+01,7.783733390966949336e-05,-3.095385347611805057e-06,4.728014592025504034e-05
5.500000000000000000e+02,7.000000000000000000e+01,6.659410045921935952e-05,-3.542517162239228536e-06,4.477701403948958404e-05
